second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
0,211,9891,1.0659251837722643,0.7388896757842112,3221.0,60.69729593692385,79.2510547021405,99.8243026795388,2.0,0.9972852257403352,8998.415188608751,7667.03068574672,1489.5637100647164,11749.022478465711,11383.352794974622,1481.8641254552176,13724.57942492368,1484.2712459380627
1,214,9893,1.281600817240726,0.7310376605341364,1244.0,-28.836206033420403,-94.89052780730717,99.17529453422966,2.0,1.0062903176909426,-4274.987054161871,-5861.121039857716,1482.1917257893306,-14067.584947502486,-14525.743811344131,1482.575387441775,15663.651334113163,1482.521674934102
2,217,9809,1.7158370095244984,1.0175769685388587,1350.0,-27.211038889910498,94.71885720757632,98.55000024443154,2.0,1.0217779405500689,-4034.054925597454,-4735.82734181808,1487.7458960409251,14042.134664945235,13726.89975441625,1500.175893155868,14520.875919837088,1498.8586532568434
3,474,9785,2.000742042706263,0.8759571604966708,545.0,-27.841165366178046,40.29906577997369,48.98106972786036,1.0,0.9974681876732776,-4127.471602028688,-3014.394936544502,1478.7115409213648,5974.363767013579,4400.906955995237,1483.6956954673092,5334.2814763370325,1482.1058950286802
4,562,9797,0.7305278807491334,1.2787228927950365,2353.0,38.71146251414165,-13.94494823998706,41.146554064705256,1.0,1.013611449043352,5739.000508729492,4458.746311308722,1477.0081096199938,-2067.3480113094784,-1422.4843646484871,1477.0041316404404,4680.158163596456,1477.007742138089
5,571,9644,2.6716019433415648,0.9064033492953304,1200.0,-27.41162790837848,-29.87149907094988,40.542617100196594,0.0,1.00300286423995,-4063.792383297812,-5054.876039657918,1476.9632337209582,-4428.469947423661,-4776.813712550626,1476.9649180017934,6954.834363284249,1476.9640282644325
7,576,9746,2.158972284716985,1.0258608002251488,356.0,-21.44384688586037,-34.06969002959011,40.25645722088042,2.0,0.9845435379943044,-3179.0648090888526,-2009.858159277985,1494.24274920858,-5050.85459741146,-5251.753140612893,1489.848582427426,5623.205568921847,1490.4106616110323
9,598,9886,1.5303317501723588,0.7340928495581129,585.0,8.0187986057987,-38.49348066173391,39.319831949483735,2.0,0.9865639870291362,1188.7923185869456,1656.94279326781,1485.3352585272096,-5706.684551630097,-7136.058937912086,1487.503656533018,7325.899029164755,1487.392807555177
10,634,9761,2.042547301875515,1.076602338457689,487.0,14.106547629553976,34.1662419617112,36.96385769655368,4.0,1.019185511191583,2091.3052301460466,2859.564809133831,1505.5379260946568,5065.168486672536,4283.161618468723,1504.3050058499623,5150.008189077005,1504.6852320910148
11,665,9642,3.150332247396144,1.0266886538231188,651.0,-15.263041608371315,31.62638813486681,35.11678894198783,2.0,0.986175982874106,-2262.7562449546635,-2767.298046115556,1480.6161657790583,4688.633438454359,4228.163466954832,1492.948011499837,5053.246954120339,1489.2604588765237
