Unnamed: 0,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,q_amp_true,q_amp_fit,q_amp_err,fit_error_q,u_amp_true,u_amp_fit,u_amp_err,fit_error_u,chi2dof,num_ps
0,138,9891,1.0659251837722643,0.7388896757842112,3229.24194127734,60.85260905359737,79.45384344446346,100.0797345456475,0.00013721280762269528,0.0001411048878556052,5.373266357716459e-06,0.028365283826946145,0.00017915558765650697,0.00017665991279456792,5.473082966991113e-06,0.013930209459746106,0.8335947360146664,0.0
1,159,9809,1.7158370095244984,1.0175769685388587,1224.1521240926916,-24.674408189520573,85.8891038831755,89.36310528041196,-5.5636806322150576e-05,-6.195163984333704e-05,5.426296426333375e-06,0.11350100659304643,0.0001936660608525077,0.0001985472815191977,5.451709411695795e-06,0.02520431636396748,0.9942798444233597,0.0
2,179,9893,1.281600817240726,0.7310376605341364,1014.226082442572,-23.509993792429928,-77.36370440427096,80.85705020139869,-5.3011239873218664e-05,-4.8857732541690796e-05,5.41014020290101e-06,0.07835144662643939,-0.00017444266161295775,-0.00017801067258076993,5.5063405506828255e-06,0.0204537750961898,1.0267338799430286,0.0
3,383,9785,2.000742042706263,0.8759571604966708,485.6868794419341,-24.81117197564379,35.913261473579176,43.65039065660969,-5.594518657678433e-05,-6.010284840370989e-05,5.434156292650252e-06,0.074316703211262,8.097860575439803e-05,8.284707512823007e-05,5.405559388145173e-06,0.02307361748730235,0.9989913907255076,0.0
4,395,9694,2.4866819015914485,1.0589021011364903,661.5096400320617,10.72433121110694,40.76620590065339,42.153230284997015,2.4181635236964302e-05,2.9259303063891378e-05,5.455406625313303e-06,0.20998033330538785,9.192121183870365e-05,9.414387856157222e-05,5.442754400942411e-06,0.02418012859500523,0.9767176679810297,0.0
5,404,9641,3.0962038789677027,1.0188201606618688,452.1354227637498,-37.06181126517792,-18.683718840972585,41.50492987566878,-8.356840007958332e-05,-8.417005737595208e-05,5.425202984538882e-06,0.0071995789771706975,-4.212876915014288e-05,-4.525255552138553e-05,5.414538218531374e-06,0.0741485316152906,1.0303910577904432,0.0
6,409,9746,2.158972284716985,1.0258608002251488,360.3076021109718,-21.70331756033477,-34.48193348097106,40.74356059196163,-4.893747669155088e-05,-4.7054373260450096e-05,5.437767405173135e-06,0.03847978192602447,-7.775119224577204e-05,-7.582442799595682e-05,5.401552371108798e-06,0.024781153756777308,0.9112397104925153,0.0
7,418,9850,0.8618008418776082,0.976007950926918,565.2864749040587,3.494477452028195,-40.31935875654063,40.47050856119012,7.879482405506583e-06,6.953233995085433e-06,5.48523878752188e-06,0.11755193587003138,-9.091364368056778e-05,-9.364688949195575e-05,5.5030209292605944e-06,0.03006419829559845,0.9847280900865235,0.0
8,437,9797,0.7305278807491334,1.2787228927950365,2250.560009194753,37.02612385540544,-13.337842260605882,39.35520148499595,8.34879307329469e-05,8.398601896794416e-05,5.477251582544228e-06,0.005965990899816423,-3.0074680653288774e-05,-2.9252390173204737e-05,5.50063706216406e-06,0.027341619668839842,0.8715324087781162,0.0
9,469,9886,1.5303317501723588,0.7340928495581129,555.8008145951839,7.618555208850671,-36.572150270761824,37.35725577310905,1.7178611837566106e-05,1.6661414685823612e-05,5.493900915005978e-06,0.030107039883833328,-8.246429360211123e-05,-8.478244255351921e-05,5.661821229547485e-06,0.02811094171973403,0.9352763012335703,0.0
10,480,9861,1.4002910844846814,0.8559921400285055,777.2486541380327,-31.63552225786776,17.331119545643205,36.07178916041485,-7.133299454406372e-05,-6.874691841064306e-05,5.409363111096558e-06,0.03625357592163317,3.907887614165812e-05,2.865651997815445e-05,5.474794221615336e-06,0.2667005091375549,0.9529076546505465,0.0
11,485,9761,2.042547301875515,1.076602338457689,469.1378770820438,13.58914950284536,32.91309696465839,35.60810211195884,3.064133790627893e-05,3.360927802241768e-05,5.42770136604902e-06,0.09686065684261666,7.421371921951823e-05,7.869336498745141e-05,5.451896043911174e-06,0.0603614239394572,1.0736397825178587,0.0
12,487,9644,2.6716019433415648,0.9064033492953304,1053.2186420139294,-24.058697934211256,-26.21768307202182,35.58353343829981,-5.4248479114377654e-05,-6.300745005244373e-05,5.4053965702443826e-06,0.16146021199227795,-5.9116641991564044e-05,-5.902875330667163e-05,5.401735902704562e-06,0.0014866995473957227,0.9766560579102186,0.0
13,535,3264,1.764835873046031,1.536906907530245,351.5115205462776,32.44846096391595,-5.293084376948407,32.87733810922461,7.316604006202642e-05,6.382334396271168e-05,5.468965594401592e-06,0.1276917008409158,-1.1935050602435606e-05,-1.5848360655577832e-05,5.47459122021319e-06,0.3278838258418134,0.9499484461699313,0.0
14,585,9642,3.150332247396144,1.0266886538231188,561.8912026226922,-13.173838410150458,27.2973721408792,30.310007328511208,-2.9704878452004337e-05,-2.4736886039003643e-05,5.409419940307871e-06,0.16724500054857078,6.155116650582063e-05,6.155576443437401e-05,5.386170368241832e-06,7.470091656102865e-05,0.9205655229130953,0.0
15,593,9733,2.976955925180019,1.4547152924367677,325.4279258724084,0.4516063827097554,-30.030604060538074,30.03399954327945,1.0182994727039033e-06,-9.488762754241754e-06,5.493424559715234e-06,10.318243806064363,-6.771416315317953e-05,-6.287878348079998e-05,5.480486268770376e-06,0.07140868981044939,1.0486310802856311,0.0
16,598,3410,1.8303557198321283,1.1958378754177277,1294.1715667477931,26.892582342496617,12.611830710203884,29.70301767347558,6.063843087136034e-05,5.950006109974016e-05,7.087867629429207e-06,0.018773074356675565,2.8437641835291288e-05,3.359032530049716e-05,7.053451820089292e-06,0.18119236099286407,0.9416227809248588,1.0
17,657,9823,1.8359307386424428,0.8678950099994327,810.5763890795888,12.698566941009204,24.983742693343363,28.025720353319727,2.863321803056873e-05,3.112720564627273e-05,5.421859621600655e-06,0.08710119879090883,5.633430568042319e-05,6.057193491796286e-05,5.465506575634863e-06,0.07522288925648897,0.9107936495890167,0.0
18,750,9760,1.505563921197102,1.4507215337648471,936.7990969625416,21.70169748980786,-12.99968920402268,25.297343602447995,4.893382369410342e-05,5.330048304051291e-05,5.897893415869647e-06,0.08923601339037973,-2.9312200111836386e-05,-3.386327194306244e-05,5.677350773984478e-06,0.1552620347112161,0.940897266029456,1.0
19,772,9647,2.7488935718910694,0.959307017980425,584.3255460417864,15.0430626372592,19.788870288850827,24.85745604074292,3.3919677262882784e-05,3.1324583777986455e-05,5.53437322774544e-06,0.07650702171438573,4.462070721771365e-05,5.392927430357473e-05,5.545908113578613e-06,0.20861540899481182,0.9298307362518609,0.0
20,773,9734,2.567585300216503,1.3779351414985066,920.0067058411432,-24.204958163383527,5.581634452539882,24.840182021332435,-5.4578272314708473e-05,-5.711451226467055e-05,5.492069155872903e-06,0.046469773453759154,1.258568443108172e-05,1.3824575085058305e-05,5.52312248541559e-06,0.09843649431706784,1.0137773603563085,0.0
21,789,9632,3.289566220606704,0.9847587795592968,635.0746839090957,-8.818552800629922,22.667401747123137,24.32237602420822,-1.988441264494776e-05,-1.743470010351903e-05,5.401708374532438e-06,0.12319763149006834,5.1111330863314684e-05,5.229731310871623e-05,5.445046216497236e-06,0.023203900688346,1.0307388417030034,0.0
22,816,8427,1.690767474821594,0.9144108446132794,455.503705910723,-18.019976146274345,15.29199420334617,23.63397188429125,-4.063213654728467e-05,-5.1227686072518827e-05,5.489141510886547e-06,0.26076771800822834,3.448097774974644e-05,3.645297609510239e-05,5.4259746200405255e-06,0.05719090565436348,1.0134056689153055,0.0
23,833,9887,1.1477038256515248,0.7718949982558877,1261.3919359959232,12.598325423539029,19.47444396634202,23.194218488140205,2.8407189594543452e-05,3.6362640501473326e-05,5.339966201106086e-06,0.2800506146675623,4.391172663047353e-05,4.1753154167344314e-05,5.36171399826438e-06,0.04915708465062329,0.9483063068295724,0.0
24,855,9837,1.41617280777493,1.0022260386211457,521.8368774487701,-6.830466154081903,21.660781562931376,22.712215343270376,-1.5401598270797005e-05,-1.4681530272616674e-05,5.40342661323011e-06,0.046752810034375064,4.884156488563947e-05,5.2538897519299635e-05,5.430251436279248e-06,0.07570053585132502,0.8570266978740032,0.0
25,894,9663,2.4806640236898354,0.8751090696129726,803.0947674637725,-7.300964741496343,-20.79834248556388,22.04257553697808,-1.6462496614609776e-05,-1.6050139314368185e-05,5.492843940323774e-06,0.025048284588598858,-4.689690402311355e-05,-4.000147073973274e-05,5.424668591956885e-06,0.14703386986873018,1.104108155653525,0.0
26,911,9807,1.516067224006115,1.1266124035913023,865.2220327641924,-20.397447208415645,7.574200735675754,21.758317246616624,-4.5992949905193345e-05,-4.8921422892559026e-05,5.479791356960531e-06,0.06367221483732247,1.707859966241688e-05,1.6694806746286135e-05,5.463335860139001e-06,0.022472153672839886,0.9135577974580799,0.0
27,937,9690,3.044310381078064,1.2181332433948224,862.5630428200838,-7.522228146920331,19.77955418714582,21.16163226541276,-1.6961409866721016e-05,-1.5901994494818116e-05,5.4547106492274856e-06,0.06246033674249667,4.4599700912627917e-05,3.7942769042777495e-05,5.442001287815428e-06,0.1492595630381365,0.9323684155536439,0.0
28,940,9743,2.303283456026622,1.3811392211255948,892.050570545851,20.99076756397116,2.1023951167178705,21.09579076857425,4.7330791504289996e-05,4.5289333694955246e-05,5.477469518761207e-06,0.04313170653716439,4.740561517140892e-06,4.6733395916199755e-06,5.501470604870896e-06,0.014180160995244119,0.9622054354988392,0.0
29,947,9643,2.579313877170057,0.8568432171980903,487.3142696073617,-12.153399580529817,17.10256187650338,20.981009129773746,-2.740395366016605e-05,-2.826121295235667e-05,5.504168052170521e-06,0.03128232162487991,3.856351550266313e-05,4.0596475953154224e-05,5.403430548301454e-06,0.05271719717437851,0.9981884184902599,0.0
30,975,9765,1.5180457038801425,1.4103549507826931,313.28905482670007,-15.193730058558245,-13.773083817790791,20.50724922909523,-3.425940796983579e-05,-3.341054695160786e-05,5.465614890414697e-06,0.024777457303854243,-3.1056080086841654e-05,-2.6028277704752845e-05,5.43685911435143e-06,0.16189430114907097,1.013878691108015,0.0
31,976,9817,1.6746552690597485,1.005548043372414,772.039655283753,-18.12721804769557,-9.558461674149882,20.492931067197105,-4.0873949718776495e-05,-4.652911644864344e-05,5.503578001776857e-06,0.13835625792897377,-2.1552787682593212e-05,-2.8133211746683403e-05,5.441428820551785e-06,0.3053166096655224,0.9280413265084471,0.0
32,989,9666,3.13797330721469,1.1347830294063874,711.5815500886072,12.262098144186234,-16.1716218407042,20.294836876811715,2.764905136979284e-05,1.9926427091590364e-05,5.408123731260033e-06,0.27930883323684674,-3.646439603963615e-05,-4.4777748819161106e-05,5.3855200933618816e-06,0.22798547850589615,1.1049749273448295,0.0
33,993,9667,3.562590879379344,1.164137224418048,360.17234083444515,20.20045115713505,0.582448789324981,20.20884641794244,4.554875561825673e-05,4.7596662224659234e-05,5.519417974923497e-06,0.044960758611409045,1.3133279726647295e-06,7.476927422781984e-07,5.546073242802764e-06,0.4306884815975272,0.9313677888670164,0.0
34,1005,9754,2.0934108941683864,1.0341350558700115,590.0831986151476,19.976088427657967,-1.4707864581431067,20.03016030078311,4.504285389084967e-05,4.331010820801532e-05,5.340554469454508e-06,0.03846882542196895,-3.3163859770992875e-06,1.9178827134915368e-06,5.352884119933269e-06,1.578305036487048,0.8973689695628453,0.0
35,1019,9782,1.9917383068021592,0.9219868337305503,477.090306076844,-15.759463734759612,-11.667043254563398,19.608176751321288,-3.5535046061374764e-05,-4.326349607902837e-05,5.4389295605070435e-06,0.21748811030961726,-2.6307298676447382e-05,-2.4990643854746824e-05,5.428212670104186e-06,0.05004903155941829,0.9621250198492665,0.0
36,1040,9826,0.9151916627006884,1.1429462673679935,362.5883470205189,-19.0739937285214,-2.279174544423713,19.20968176101891,-4.300877600437717e-05,-3.648625988215233e-05,5.43527531036533e-06,0.151655469608366,-5.139170582268857e-06,5.3511854172845095e-06,5.470103024500755e-06,2.041254679451028,1.051702864065886,0.0
37,1055,9710,3.591178050861697,1.3999536071547776,484.87233691975575,8.283133790200758,17.15251173138075,19.04780733001885,1.8677129229854686e-05,1.3424899283443988e-05,5.521487292499676e-06,0.2812118437353427,3.8676144360072236e-05,3.764125819881957e-05,5.567962377538225e-06,0.026757738610600535,1.047481461206775,0.0
38,1056,9635,3.0702415909314187,0.978509377322622,346.99733594987754,-7.243385686207567,17.589303959754826,19.02236184041833,-1.6332665142150202e-05,-2.120804307983445e-05,5.426295544733704e-06,0.2985047385256318,3.9661040306771794e-05,4.3318765340546344e-05,5.413454099042179e-06,0.09222463670853394,1.0129044496437192,0.0
39,1065,9773,1.1323911762048722,1.4027544128059766,529.1236988205153,16.046117790552845,9.942270294576224,18.87661608336381,3.618140467152374e-05,3.5656812383167585e-05,5.524938920288601e-06,0.014498947542769956,2.2418214148566218e-05,2.2769340394393728e-05,5.576342804003908e-06,0.015662543122328346,0.9651452030119821,0.0
40,1078,9792,1.5480677625808226,1.1966494253321391,461.9144607389373,18.6800428766425,1.880684561902334,18.77447672492045,4.2120480444131815e-05,3.082253624798776e-05,5.438589464417461e-06,0.26822923378401486,4.2406400153523535e-06,6.079249897108846e-06,5.390895384092744e-06,0.43356896013342044,0.9830177785669042,0.0
41,1085,9624,3.3208855676583013,0.9697501773412222,596.0863599764344,1.5086248377853044,18.574270273679936,18.63543573681316,3.4017054134775453e-06,4.704844628675392e-06,5.448097338744723e-06,0.3830840877739775,4.188198030341852e-05,4.38028715852133e-05,5.499087898877097e-06,0.04586438530075891,1.0510674628626477,0.0
42,1123,9759,1.976480896942039,1.219348055744519,415.6040230174132,-15.093544689629493,10.11830014371163,18.171270981856978,-3.4033506139705184e-05,-2.7629562006201548e-05,5.485671655914865e-06,0.18816586534504817,2.2815133035051346e-05,2.0556597561520147e-05,5.50797010599258e-06,0.09899286890246774,1.1035051688010655,0.0
43,1133,9889,1.335294043090938,0.7458578269662859,470.7072656505275,8.753246177633812,15.84369758368146,18.10088593879909,1.9737156755068653e-05,1.655675171059344e-05,5.461654060769908e-06,0.16113795335077644,3.5724979789561386e-05,2.991441654936187e-05,5.641199507197298e-06,0.16264706864571346,1.0207140171823108,0.0
44,1138,3523,1.6566280409766294,1.1555850495523337,305.00639874834934,-17.669292660713985,3.781131015102378,18.069334655247555,-3.9841401911761176e-05,-3.3559025905195586e-05,5.430605557704899e-06,0.1576846121147919,8.52583990465366e-06,1.1145104181242249e-05,5.4447168466521985e-06,0.3072148088493798,0.911178111878842,0.0
45,1140,9631,2.6020881680595265,0.8252615547148763,668.5626962937416,10.896642154229696,-14.391274608757136,18.051193730664835,2.4570168590877915e-05,1.96040387261037e-05,5.428323845943527e-06,0.20212030073810616,-3.245000050199224e-05,-3.503916633539663e-05,5.399755299024151e-06,0.07978939270726443,1.0148445441604417,0.0
46,1143,9894,1.5121215616582708,0.7046752451648378,1653.268508238553,4.553570602875964,-17.424436467511235,18.00960830905857,1.0267566450248102e-05,2.769123759148017e-06,5.382149078622477e-06,0.7303037898448561,-3.9289290732706176e-05,-4.375777864798838e-05,5.451393886294877e-06,0.11373297486285323,1.0084559548746785,0.0
47,1159,9840,1.0759291800955066,1.0452904194257904,977.7569738312978,17.545805760242988,-2.7178638944575537,17.75505798145903,3.956295889047139e-05,3.941967221646279e-05,5.412151874755822e-06,0.0036217380607271297,-6.128344231985363e-06,-6.733713403732767e-06,5.446217140498089e-06,0.09878184854366226,0.9639631067157338,0.0
48,1177,2957,2.482466417135874,1.0926219007597509,2284.551306184542,-17.403734182056482,2.0830539094819445,17.527951308395664,-3.9242610421777335e-05,-3.7587841318402265e-05,5.461407811198257e-06,0.042167661263858514,4.696950217823942e-06,-1.353190219070935e-05,5.477058111485176e-06,3.880997575694675,0.96322152782037,0.0
49,1184,9697,3.69187971629383,1.3237846097408774,358.5626050552696,3.4203008115586417,17.124573249551744,17.462802370204273,7.712226058455265e-06,-6.414524984093032e-07,5.534691874944155e-06,1.0831734564764282,3.861314759473886e-05,4.369783154904022e-05,5.534949136965764e-06,0.13168271096848283,0.9424884516634138,0.0
50,1191,9751,2.1226482971945013,1.051480595951507,434.4855510468186,-9.55866087417675,14.50352536569721,17.370096307762367,-2.1553236846489227e-05,-2.4142621192970544e-05,5.50259241095043e-06,0.12013900115903459,3.270310783390556e-05,4.059658853997614e-05,5.4082642744080075e-06,0.24136790748330259,1.0554928731199351,0.0
51,1202,2996,3.235017031897151,1.3727274491864552,695.8001123521714,-6.323585204065951,16.012324793699847,17.21575659481792,-1.425866357393151e-05,-1.0598856479863224e-05,5.417006041894543e-06,0.25667251878776015,3.610520692013233e-05,3.410927359167703e-05,5.414734823642011e-06,0.05528103835190488,0.9987290335067609,0.0
52,1228,9885,1.7207429488107178,0.6851801334166481,489.23328366032166,14.048521450677615,9.164548006052508,16.77348786345255,3.1677147474438174e-05,3.926762806603912e-05,5.428516740886547e-06,0.23962007935613752,2.0664575965771188e-05,1.5247024533733794e-05,5.396192637710485e-06,0.2621661069170269,0.9911558596310708,0.0
53,1235,9706,3.480179657101685,1.367919153261963,1366.5084413054765,-16.69636232975126,0.5311583101511343,16.70480901407674,-3.76476011132598e-05,-4.145229524224741e-05,5.55337195896186e-06,0.10106073206474661,1.1976762239359568e-06,2.908394545054322e-06,5.500464311756657e-06,1.428364600489758,0.984890687501211,0.0
54,1236,9732,2.5314823155872768,1.339846379726393,505.4875196828823,-11.198298031406656,-12.391346953650212,16.70171722087111,-2.525035388592223e-05,-2.240308376431064e-05,5.489336908549169e-06,0.11276159274738014,-2.7940486565493703e-05,-2.3362732074861693e-05,5.568131738322926e-06,0.16383946929132948,1.0845368742498542,0.0
55,1241,9696,3.1244939998148125,1.2952347983361887,591.3910064213721,-15.288435947146134,-6.577667287082606,16.643376479835656,-3.447295445656244e-05,-4.131115424178545e-05,5.4532803929248244e-06,0.1983641928294677,-1.4831577644824201e-05,-3.6843523187531655e-06,5.413201428312219e-06,0.7515872952302617,0.9908704495062262,0.0
56,1265,9717,2.8870038421495186,1.3823406246807042,1163.9483596012087,16.048961773403988,-2.9889671643643454,16.324922625048817,3.618781739363879e-05,2.922446502345334e-05,5.472557493930649e-06,0.19242255741595202,-6.739638330925977e-06,-6.526367860444171e-06,5.463576222006618e-06,0.031644201069837535,0.9080562367644357,0.0
57,1284,9793,1.6531963231437783,1.1458016841121217,509.1021691427957,-3.839454975207046,15.66163598185648,16.125391658338835,-8.657351017194242e-06,-8.019246737637868e-06,5.430441725657063e-06,0.07370664286212311,3.5314460274700685e-05,3.191390357407825e-05,5.444436600127644e-06,0.09629360534383133,0.9711331822823733,0.0
58,1305,9890,0.9235238785039854,0.7301643669345682,298.6009095074717,13.734133877740067,-8.119985023463496,15.954955034501316,3.096825426122441e-05,3.2821944331391665e-05,5.458995265196877e-06,0.059857751571365504,-1.830925510428543e-05,-9.110290474129016e-06,5.566943288470237e-06,0.5024215664570276,1.027959956512136,0.0
59,1331,9736,2.218151792691651,0.9316532574894936,322.9137494769763,3.9449884572208425,-15.186455752702855,15.690486680036644,8.895311978778618e-06,2.0491859746968582e-05,5.427912670864354e-06,1.3036695953841342,-3.4243005584704774e-05,-4.071806576284143e-05,5.411524142539978e-06,0.18909146751501438,0.9693280739543916,0.0
60,1343,9727,3.5195487663510225,1.4539165782845889,1115.3261613305876,-15.06361564467522,3.9564557695353497,15.574532370083976,-3.396602097593802e-05,-3.45431782719559e-05,5.493915895087145e-06,0.01699219630190839,8.92116891643554e-06,7.385261508742881e-06,5.5320674791021e-06,0.17216436792975018,0.8929388878064602,0.0
61,1347,9661,3.1128414708225653,1.120479491650411,301.0877363455824,-13.332816353272577,-7.954048789307137,15.525169372756324,-3.0063348043779015e-05,-2.3893791202005805e-05,5.4375815635597155e-06,0.205218554925717,-1.793509568977492e-05,-2.8444175658176834e-05,5.390229139443965e-06,0.5859505937508492,0.8913979358571528,0.0
