Unnamed: 0,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,q_amp_true,q_amp_fit,q_amp_err,fit_error_q,u_amp_true,u_amp_fit,u_amp_err,fit_error_u,chi2dof,num_ps
0,160,9891,1.0659251837722643,0.7388896757842112,3221.0,60.69729593692385,79.2510547021405,99.8243026795388,0.00032847530601291645,0.0003251302524577589,2.9879177899037965e-05,0.010183576950609601,0.00042888260577842287,0.0004336623663804358,2.988801296730637e-05,0.011144682805071172,0.995251581108617,0.0
1,163,9893,1.281600817240726,0.7310376605341364,1244.0,-28.836206033420403,-94.89052780730717,99.17529453422966,-0.00015605277722622904,-0.00011832557988602658,2.9855357154734787e-05,0.24175921768767694,-0.0005135186778604299,-0.0005160365065607028,2.986377769589597e-05,0.004903090790705716,1.0036798231458253,0.0
2,165,9809,1.7158370095244984,1.0175769685388587,1350.0,-27.211038889910498,94.71885720757632,98.55000024443154,-0.0001472578669003835,-0.00010640241293715259,3.1047061391813483e-05,0.2774415711920415,0.0005125896487840998,0.0004532219135291194,3.072895997273433e-05,0.11581922380954249,1.0031117307312098,1.0
3,359,9785,2.000742042706263,0.8759571604966708,545.0,-27.841165366178046,40.29906577997369,48.98106972786036,-0.00015066791975239057,-0.00015315930929792661,2.9881765653630145e-05,0.016535633794044713,0.00021808628802620053,0.00019134177863334122,2.9873493941436936e-05,0.12263269568624265,1.0246146998484384,0.0
4,439,9797,0.7305278807491334,1.2787228927950365,2353.0,38.71146251414165,-13.94494823998706,41.146554064705256,0.00020949466198221317,0.0002057030475351348,2.9882543320613986e-05,0.01809885947070238,-7.546581885993938e-05,-6.439915688538595e-05,2.9864969319259025e-05,0.1466446948000733,0.9819477046528201,0.0
5,449,9644,2.6716019433415648,0.9064033492953304,1200.0,-27.41162790837848,-29.87149907094988,40.542617100196594,-0.00014834339366408928,-0.00017009325151715705,2.986215169035439e-05,0.14661831117547727,-0.00016165546828628767,-0.00013570465207817227,2.986268574625139e-05,0.16053163238596527,1.0183196869012783,0.0
6,452,9641,3.0962038789677027,1.0188201606618688,439.0,-35.98509279799249,-18.140920083301594,40.29913007930651,-0.00019474037823706764,-0.00018667814953927063,3.0375561449041684e-05,0.0413998820931858,-9.817314237376796e-05,-0.00014015754181094964,3.0707408559461425e-05,0.42765667291505566,1.0090002148110568,1.0
7,453,9746,2.158972284716985,1.0258608002251488,356.0,-21.44384688586037,-34.06969002959011,40.25645722088042,-0.00011604757772482888,-7.511787450246131e-05,2.9875922988205296e-05,0.35269760924626764,-0.0001843748009773693,-0.00017670452591700354,2.9873078541386343e-05,0.041601536759392724,0.9813947017120053,0.0
8,462,9850,0.8618008418776082,0.976007950926918,555.0,3.430888712143365,-39.58567045793543,39.73406980110865,1.8566926289248254e-05,1.2324245053941954e-05,3.177434004766915e-05,0.33622588564491235,-0.00021422560950506482,-0.0001626796980854183,3.171904468970171e-05,0.2406150765015228,0.9935075944750063,1.0
9,467,9886,1.5303317501723588,0.7340928495581129,585.0,8.0187986057987,-38.49348066173391,39.319831949483735,4.3395299333151257e-05,4.255501304557753e-05,2.985999102857569e-05,0.019363532467485456,-0.00020831501049083039,-0.0001843654953172915,2.9865086978869053e-05,0.11496778420868092,0.9940337213459632,0.0
10,496,9761,2.042547301875515,1.076602338457689,487.0,14.106547629553976,34.1662419617112,36.96385769655368,7.634034560977442e-05,5.32023171930673e-05,3.2158194222349425e-05,0.30309043313716133,0.00018489731067010043,0.0001981831131143871,3.473558603377824e-05,0.07185503345687712,1.033839451784811,1.0
11,521,9642,3.150332247396144,1.0266886538231188,651.0,-15.263041608371315,31.62638813486681,35.11678894198783,-8.259893930378163e-05,-7.913523394791083e-05,3.0289165293799584e-05,0.04193401737438804,0.00017115239419362733,0.00019964843476306254,3.076328837127825e-05,0.16649513261963023,1.0281835517176827,1.0
12,538,9861,1.4002910844846814,0.8559921400285055,731.0,-29.75311265884087,16.299865326772593,33.92540821509154,-0.00016101479702828486,-0.00019754357970331834,3.17894576956008e-05,0.22686599833813167,8.820991394319931e-05,0.00014778299602502553,3.169170568535773e-05,0.6753558576214789,1.0046232199527352,1.0
13,555,9694,2.4866819015914485,1.0589021011364903,522.0,8.462614228760895,32.16878211950121,33.2632888126951,4.579709450895803e-05,5.681304273287644e-05,3.2960216043664305e-05,0.24053814640497917,0.00017408766548260692,0.0001862880045332574,3.177752296347838e-05,0.07008158226964918,0.9826877353743234,1.0
14,584,9733,2.976955925180019,1.4547152924367677,345.0,0.4787671544081079,-31.83672198109924,31.84032167692323,2.590942234338794e-06,-6.290205801581881e-06,2.9882282704816516e-05,3.427767673943196,-0.00017229065700154333,-0.00014126475802881061,2.989260133273193e-05,0.18007882442780862,1.0178905695961802,0.0
15,626,9647,2.7488935718910694,0.959307017980425,701.0,18.046766875334576,23.740187582851995,29.82083669385675,9.766361384664538e-05,8.004947520716941e-05,3.541809534334352e-05,0.1803551798434806,0.00012847467520110017,0.00011961924750903655,3.131166472097782e-05,0.06892741840524058,0.9888424279854426,1.0
16,717,9632,3.289566220606704,0.9847587795592968,707.0,-9.817297064446974,25.234595932200616,27.0770041458252,-5.312822602204635e-05,-3.528521783299922e-05,3.42289199192415e-05,0.3358479950307941,0.0001365619587000333,0.00015035730999971041,3.226220034582128e-05,0.10101899116707484,0.967831580115787,2.0
17,740,9823,1.8359307386424428,0.8678950099994327,757.0,11.85923412506419,23.332400836812347,26.17331394460336,6.417856838890184e-05,8.111614447524828e-05,3.134263181210211e-05,0.26391327372262463,0.00012626785734989667,0.00016527407057415912,3.5495406468116243e-05,0.3089164102640439,0.9919506692566098,1.0
18,842,9760,1.505563921197102,1.4507215337648471,870.0,20.1542431854925,-12.072737520958514,23.493499305763933,0.00010906863469985574,4.867911742474824e-05,3.901764457163567e-05,0.5536836272067809,-6.533398383564702e-05,-3.805882713081468e-05,3.949107500187806e-05,0.41747273170185406,0.992560602197269,1.0
19,859,9734,2.567585300216503,1.3779351414985066,856.0,-22.520970832395115,5.193308984640304,23.112000896580486,-0.00012187664494257636,-0.00011367920587823741,2.9884001658949142e-05,0.06726013066901598,2.8104608806990065e-05,4.471138846025421e-05,2.9868697204683478e-05,0.5908916849656977,1.0054838841825302,0.0
20,863,9887,1.1477038256515248,0.7718949982558877,1253.0,12.51450980874625,19.3448821048317,23.03990927506104,6.772472110292003e-05,7.330353549372937e-05,2.9867480245764153e-05,0.08237485957795702,0.00010468861867869269,0.0001163024442521085,2.986847771724538e-05,0.11093684986961791,1.0048192072315696,0.0
